epoch,split,snr,loss,acc,correct,total
1,val,20,2.0268072545097553,0.41237113402061853,40,97
1,val,0,0.9318368630771784,0.5154639175257731,50,97
1,val,30,1.6377008206349206,0.5233644859813084,56,107
1,val,10,1.6011384435179126,0.5,54,108
2,val,20,0.5745214129193235,0.6804123711340206,66,97
2,val,0,2.003744284408743,0.4845360824742268,47,97
2,val,30,0.8843283971997901,0.5700934579439252,61,107
2,val,10,0.8249592714667044,0.5833333333333334,63,108
3,val,20,1.5007888983200621,0.4020618556701031,39,97
3,val,0,1.8502336636080032,0.5154639175257731,50,97
3,val,30,1.2303969991680617,0.514018691588785,55,107
3,val,10,1.3665049167272325,0.49074074074074076,53,108
4,val,20,0.5383425907222266,0.7319587628865979,71,97
4,val,0,1.292331541273935,0.4845360824742268,47,97
4,val,30,0.787012307861141,0.5794392523364486,62,107
4,val,10,0.7398197260443811,0.6111111111111112,66,108
5,val,20,0.6063202931305643,0.6907216494845361,67,97
5,val,0,0.8331033225680134,0.5257731958762887,51,97
5,val,30,0.6110988267671282,0.6355140186915887,68,107
5,val,10,0.6399971564058904,0.6481481481481481,70,108
5,test,30,0.6508602307488521,0.6203703703703703,67,108
5,test,10,0.7735205370217862,0.5050505050505051,50,99
5,test,0,0.8516692737541577,0.44554455445544555,45,101
5,test,20,0.6317634042894956,0.6310679611650486,65,103
