epoch,split,loss,acc
1,train,2.1223270106372207,0.2269922007460156
1,val,1.737682754425529,0.24525230602278894
2,train,1.7837999772362565,0.24408273991183452
2,val,1.7281076324678153,0.26044492674986436
3,train,1.7480628223975418,0.25127161749745675
3,val,1.7699846546092373,0.2333152468800868
4,train,1.740278976850487,0.251881993896236
4,val,1.7014271595914017,0.2615301139446555
5,train,1.743274695285501,0.2571041030857918
5,val,1.7161511583167834,0.26261530113944653
6,train,1.707194331485403,0.2604950830790098
6,val,1.7155592903389727,0.2501356483993489
7,train,1.7074877530366697,0.26551373346897256
7,val,1.7118567737366153,0.25067824199674443
