epoch,split,loss,acc
1,train,2.8181798888691887,0.2522210918955578
1,val,2.023047444617302,0.29245794899620187
2,train,1.6019574756580275,0.3544252288911495
2,val,1.5714997236196981,0.39120998372219207
3,train,1.4466463613930538,0.41980332316039337
3,val,1.3094468926581364,0.4612045577862181
4,train,1.3679541737397027,0.4510003390979993
4,val,1.2405942667455565,0.4834508952794357
5,train,1.286248110039188,0.48090878263818243
5,val,1.2025707325596429,0.5018990775908845
6,train,1.1917343133908282,0.5143438453713123
6,val,1.1477305701551266,0.5317417254476398
7,train,1.1624198829493064,0.5224821973550356
7,val,1.1294365550148313,0.5154639175257731
8,train,1.1576351754743797,0.5230247541539504
8,val,1.1357396002121096,0.5311991318502441
9,train,1.1453365063254977,0.5295354357409291
9,val,1.1148052846874417,0.5187194791101465
10,train,1.1295029007082835,0.5395727365208546
10,val,1.151368698476128,0.49267498643516006
11,train,1.0923612269355953,0.5513055272973889
11,val,1.1189115382508616,0.5409658166033641
12,train,1.0839920253905655,0.5558494404883011
12,val,1.0703865854363692,0.5529028757460662
13,train,1.08170435484404,0.5547643268904714
13,val,1.1236300993664265,0.5621269669017905
14,train,1.0818255104101808,0.5579518480840963
14,val,1.065654173016354,0.5518176885512751
15,train,1.0738111588541797,0.5575449304849102
15,val,1.0977542378368161,0.5529028757460662
16,train,1.0584517867818206,0.5671753136656493
16,val,1.0528259049662416,0.5729788388497016
17,train,1.0508381144965693,0.5703628348592743
17,val,1.0578075932602615,0.5653825284861639
18,train,1.0490678835295144,0.5711088504577823
18,val,1.0417593419390143,0.561584373304395
19,train,1.0497721471395198,0.5645981688708036
19,val,1.033162030588979,0.5670103092783505
20,train,1.0495801701227176,0.5710410308579179
20,val,1.070111627107849,0.5599565925122083
21,train,1.0336190596884816,0.5760596812478807
21,val,1.0276744343700193,0.5680954964731416
