epoch,split,snr,loss,acc,correct,total
1,val,20,1.3801504548614711,0.37254901960784315,114,306
1,val,10,1.3272743564295142,0.3881578947368421,118,304
1,val,-20,2.840770264490033,0.1949685534591195,62,318
1,val,30,1.3135260796912436,0.39308176100628933,125,318
1,val,-10,3.083524401423398,0.15034965034965034,43,286
1,val,0,2.2498545159385137,0.24758842443729903,77,311
2,val,20,1.0338572860251065,0.5718954248366013,175,306
2,val,10,1.0323052406923747,0.5756578947368421,175,304
2,val,-20,2.265702615743913,0.14465408805031446,46,318
2,val,30,0.9827566518676731,0.6069182389937107,193,318
2,val,-10,2.286602411653612,0.14335664335664336,41,286
2,val,0,1.8621045962407274,0.29260450160771706,91,311
3,val,20,0.7165877848583596,0.6993464052287581,214,306
3,val,10,0.6730274101351633,0.756578947368421,230,304
3,val,-20,2.0786605529815145,0.13836477987421383,44,318
3,val,30,0.6891561951019667,0.7389937106918238,235,318
3,val,-10,2.0933785678206625,0.13986013986013987,40,286
3,val,0,1.6416797708851731,0.2797427652733119,87,311
4,val,20,0.6664164351859416,0.7026143790849673,215,306
4,val,10,0.590008102130684,0.7861842105263158,239,304
4,val,-20,1.9980578761805527,0.18867924528301888,60,318
4,val,30,0.6372697818672882,0.7169811320754716,228,318
4,val,-10,2.01213806429943,0.17482517482517482,50,286
4,val,0,1.5743525675063732,0.3183279742765273,99,311
5,val,20,0.6243739480858826,0.761437908496732,233,306
5,val,10,0.5708625902372756,0.7861842105263158,239,304
5,val,-20,1.9541423272036906,0.1761006289308176,56,318
5,val,30,0.5761570018839162,0.779874213836478,248,318
5,val,-10,2.0141438954360003,0.15034965034965034,43,286
5,val,0,1.5146523761979254,0.3408360128617363,106,311
6,val,20,0.5372590032311801,0.7810457516339869,239,306
6,val,10,0.46206585616700496,0.8552631578947368,260,304
6,val,-20,2.0415945314573793,0.15723270440251572,50,318
6,val,30,0.4946168168453769,0.7987421383647799,254,318
6,val,-10,2.0425491733150882,0.14685314685314685,42,286
6,val,0,1.3495624276219458,0.4340836012861736,135,311
7,val,20,0.5564139023137102,0.7745098039215687,237,306
7,val,10,0.4611645635848522,0.8453947368421053,257,304
7,val,-20,1.9359509555048913,0.16981132075471697,54,318
7,val,30,0.5021372540010456,0.7704402515723271,245,318
7,val,-10,1.9688692674353405,0.17482517482517482,50,286
7,val,0,1.3912740469553846,0.3440514469453376,107,311
8,val,20,0.49029013848090486,0.7908496732026143,242,306
8,val,10,0.43941588936937287,0.8256578947368421,251,304
8,val,-20,2.022726294004692,0.1792452830188679,57,318
8,val,30,0.45104563485467863,0.8018867924528302,255,318
8,val,-10,2.0803285432862233,0.15384615384615385,44,286
8,val,0,1.3759596030140997,0.4180064308681672,130,311
9,val,20,0.5572631377970276,0.7549019607843137,231,306
9,val,10,0.43020564212010387,0.8223684210526315,250,304
9,val,-20,1.9657621449269589,0.18553459119496854,59,318
9,val,30,0.48580437755130185,0.7641509433962265,243,318
9,val,-10,1.996128007248565,0.12937062937062938,37,286
9,val,0,1.2951457838728497,0.43729903536977494,136,311
10,val,20,0.5732678117662717,0.7254901960784313,222,306
10,val,10,0.45548755163097093,0.8289473684210527,252,304
10,val,-20,1.9936382137004685,0.14465408805031446,46,318
10,val,30,0.5003015725828016,0.7421383647798742,236,318
10,val,-10,1.9352361957926851,0.2062937062937063,59,286
10,val,0,1.4840320779004663,0.2990353697749196,93,311
11,val,20,0.4679505328306916,0.8169934640522876,250,306
11,val,10,0.39872234474904344,0.8355263157894737,254,304
11,val,-20,2.067727807417231,0.1792452830188679,57,318
11,val,30,0.40494787178746183,0.8333333333333334,265,318
11,val,-10,2.0993345246448385,0.15034965034965034,43,286
11,val,0,1.321636544642341,0.4115755627009646,128,311
12,val,20,0.4424985139326381,0.826797385620915,253,306
12,val,10,0.3570225842459446,0.8914473684210527,271,304
12,val,-20,1.9960938547767184,0.1761006289308176,56,318
12,val,30,0.4003641396986449,0.8207547169811321,261,318
12,val,-10,2.023498197535535,0.15384615384615385,44,286
12,val,0,1.247552941801847,0.43086816720257237,134,311
13,val,20,0.419245882650679,0.826797385620915,253,306
13,val,10,0.38728952774621767,0.8618421052631579,262,304
13,val,-20,2.1222420767793118,0.1792452830188679,57,318
13,val,30,0.37222772935564985,0.8742138364779874,278,318
13,val,-10,2.1342771511811476,0.15734265734265734,45,286
13,val,0,1.354277690507208,0.4533762057877814,141,311
14,val,20,0.46046546677179223,0.8104575163398693,248,306
14,val,10,0.3771774626258871,0.8848684210526315,269,304
14,val,-20,1.916435716099709,0.1792452830188679,57,318
14,val,30,0.40699397860045117,0.839622641509434,267,318
14,val,-10,1.9203232578881138,0.1853146853146853,53,286
14,val,0,1.3516821378296977,0.3954983922829582,123,311
15,val,20,0.42542294998884544,0.8333333333333334,255,306
15,val,10,0.37889532998164405,0.8651315789473685,263,304
15,val,-20,1.9949777154427655,0.16981132075471697,54,318
15,val,30,0.39292280208949093,0.8522012578616353,271,318
15,val,-10,1.9987167978620195,0.1888111888111888,54,286
15,val,0,1.4366947390210973,0.39228295819935693,122,311
16,val,20,0.4194748279812831,0.8562091503267973,262,306
16,val,10,0.36076710625524067,0.8881578947368421,270,304
16,val,-20,1.9856231066415895,0.18238993710691823,58,318
16,val,30,0.371861469665573,0.8679245283018868,276,318
16,val,-10,1.9987762766284543,0.15384615384615385,44,286
16,val,0,1.225066058409559,0.4694533762057878,146,311
17,val,20,0.42316241022366785,0.8104575163398693,248,306
17,val,10,0.357661061533834,0.8782894736842105,267,304
17,val,-20,1.9835779234860678,0.17295597484276728,55,318
17,val,30,0.37039345609421004,0.8679245283018868,276,318
17,val,-10,2.0305693818555843,0.15034965034965034,43,286
17,val,0,1.2283504698245855,0.4919614147909968,153,311
18,val,20,0.4070859135480847,0.8431372549019608,258,306
18,val,10,0.35372237114738947,0.8881578947368421,270,304
18,val,-20,1.9338885475442094,0.16037735849056603,51,318
18,val,30,0.3650496019687102,0.8647798742138365,275,318
18,val,-10,1.9430077311459122,0.16083916083916083,46,286
18,val,0,1.289710698643298,0.4340836012861736,135,311
19,val,20,0.4098148165427428,0.8464052287581699,259,306
19,val,10,0.3545819649491597,0.8848684210526315,269,304
19,val,-20,1.9160974419341896,0.1792452830188679,57,318
19,val,30,0.35855073596346454,0.8616352201257862,274,318
19,val,-10,1.9353223145008087,0.16433566433566432,47,286
19,val,0,1.2671416900644732,0.44694533762057875,139,311
20,val,20,0.40575398356742015,0.8366013071895425,256,306
20,val,10,0.3766415770405729,0.8585526315789473,261,304
20,val,-20,1.9741122543624363,0.16352201257861634,52,318
20,val,30,0.3659753919789222,0.8742138364779874,278,318
20,val,-10,1.9988707939644794,0.16783216783216784,48,286
20,val,0,1.3431867149290164,0.4405144694533762,137,311
21,val,20,0.3979525506097726,0.8464052287581699,259,306
21,val,10,0.34416951233709514,0.881578947368421,268,304
21,val,-20,1.9312529940650147,0.16981132075471697,54,318
21,val,30,0.35123089678404684,0.8805031446540881,280,318
21,val,-10,1.9350077722456072,0.16083916083916083,46,286
21,val,0,1.2487487199797125,0.45016077170418006,140,311
16,test,0,1.2340432555809568,0.4854368932038835,150,309
16,test,10,0.4059144572705947,0.8539682539682539,269,315
16,test,-20,1.9511353715521391,0.1737704918032787,53,305
16,test,-10,1.893782922377189,0.19047619047619047,64,336
16,test,20,0.3707081753520087,0.8782894736842105,267,304
16,test,30,0.35663279280680316,0.8836363636363637,243,275
