epoch,split,snr,loss,acc,correct,total
1,val,20,1.5310581322588952,0.31699346405228757,97,306
1,val,10,1.58576514022915,0.2993421052631579,91,304
1,val,-20,1.879425825187995,0.13522012578616352,43,318
1,val,30,1.5378789778025646,0.33647798742138363,107,318
1,val,-10,1.8601373830041685,0.16783216783216784,48,286
1,val,0,1.5870953851957412,0.26688102893890675,83,311
2,val,20,1.401034861413482,0.39215686274509803,120,306
2,val,10,1.4889453212289434,0.34210526315789475,104,304
2,val,-20,1.8522354660544005,0.16981132075471697,54,318
2,val,30,1.4292681190952565,0.39937106918238996,127,318
2,val,-10,1.8650044148618525,0.15384615384615385,44,286
2,val,0,1.5694119138732985,0.22186495176848875,69,311
3,val,20,1.331780872313805,0.3758169934640523,115,306
3,val,10,1.295621314135037,0.4769736842105263,145,304
3,val,-20,1.8973167887273825,0.1289308176100629,41,318
3,val,30,1.3176839713405513,0.44654088050314467,142,318
3,val,-10,1.8879825091445364,0.17832167832167833,51,286
3,val,0,1.5018377466983734,0.2733118971061093,85,311
4,val,20,1.252625094519721,0.42483660130718953,130,306
4,val,10,1.2231091627557027,0.47368421052631576,144,304
4,val,-20,1.9344038299794466,0.18867924528301888,60,318
4,val,30,1.264661614812395,0.389937106918239,124,318
4,val,-10,1.965100509303433,0.14335664335664336,41,286
4,val,0,1.3855591985573723,0.3215434083601286,100,311
5,val,20,1.2083577007250068,0.4444444444444444,136,306
5,val,10,1.144830328559405,0.5460526315789473,166,304
5,val,-20,1.9036658496226904,0.1540880503144654,49,318
5,val,30,1.201227532242829,0.46855345911949686,149,318
5,val,-10,1.902541113900138,0.15384615384615385,44,286
5,val,0,1.3719213894325821,0.3022508038585209,94,311
6,val,20,1.179725638012481,0.41830065359477125,128,306
6,val,10,1.1116484536936408,0.5756578947368421,175,304
6,val,-20,1.8918612231998324,0.16981132075471697,54,318
6,val,30,1.177499402244136,0.4811320754716981,153,318
6,val,-10,1.8919665521675058,0.18181818181818182,52,286
6,val,0,1.3530820788294555,0.34726688102893893,108,311
7,val,20,1.1743446740449643,0.4117647058823529,126,306
7,val,10,1.103070758871342,0.5230263157894737,159,304
7,val,-20,1.874294549414197,0.1540880503144654,49,318
7,val,30,1.1640763502075988,0.48427672955974843,154,318
7,val,-10,1.8558996240575831,0.18181818181818182,52,286
7,val,0,1.3874616221407985,0.3247588424437299,101,311
8,val,20,1.1354317404086294,0.4542483660130719,139,306
8,val,10,1.0794172328161566,0.5394736842105263,164,304
8,val,-20,1.86892635529896,0.14779874213836477,47,318
8,val,30,1.1347810269901588,0.5283018867924528,168,318
8,val,-10,1.8468530678248907,0.1888111888111888,54,286
8,val,0,1.3711810636175408,0.31189710610932475,97,311
9,val,20,1.1350640268886791,0.47058823529411764,144,306
9,val,10,1.0649443961876004,0.5098684210526315,155,304
9,val,-20,1.8644246635197093,0.14465408805031446,46,318
9,val,30,1.1249159850039572,0.5314465408805031,169,318
9,val,-10,1.8573574357099467,0.19230769230769232,55,286
9,val,0,1.3282367232528147,0.36977491961414793,115,311
10,val,20,1.1132094583480188,0.4542483660130719,139,306
10,val,10,1.0389338950381468,0.5230263157894737,159,304
10,val,-20,1.9104301573345497,0.14465408805031446,46,318
10,val,30,1.1013160449153971,0.4716981132075472,150,318
10,val,-10,1.916161718068423,0.17482517482517482,50,286
10,val,0,1.2608041576442228,0.36012861736334406,112,311
11,val,20,1.095739480132371,0.4803921568627451,147,306
11,val,10,1.0402496681597673,0.5723684210526315,174,304
11,val,-20,1.865833781425308,0.16352201257861634,52,318
11,val,30,1.0950574999522862,0.48742138364779874,155,318
11,val,-10,1.8349095691334119,0.1888111888111888,54,286
11,val,0,1.3502246561157742,0.3665594855305466,114,311
12,val,20,1.0830069063535703,0.5065359477124183,155,306
12,val,10,1.0213224209452931,0.5789473684210527,176,304
12,val,-20,1.8786885749618962,0.16352201257861634,52,318
12,val,30,1.0787428297899053,0.5031446540880503,160,318
12,val,-10,1.8712396863457206,0.16083916083916083,46,286
12,val,0,1.29041891159352,0.3504823151125402,109,311
13,val,20,1.095218519759334,0.4444444444444444,136,306
13,val,10,1.0202878004822291,0.5625,171,304
13,val,-20,1.8907972285582584,0.13836477987421383,44,318
13,val,30,1.077290526725961,0.5031446540880503,160,318
13,val,-10,1.871204268890661,0.17832167832167833,51,286
13,val,0,1.282324900581139,0.3890675241157556,121,311
14,val,20,1.0835174253953048,0.4477124183006536,137,306
14,val,10,1.0063137191494829,0.5526315789473685,168,304
14,val,-20,1.8889727399409193,0.15723270440251572,50,318
14,val,30,1.0570730536988697,0.5251572327044025,167,318
14,val,-10,1.8881477992851416,0.17132867132867133,49,286
14,val,0,1.258430599016392,0.3954983922829582,123,311
15,val,20,1.0867125106598037,0.4477124183006536,137,306
15,val,10,0.9963048464177471,0.5625,171,304
