epoch,split,loss,acc
1,train,1.7240538013632236,0.2229908443540183
1,val,1.661891086555601,0.2544763971785133
2,train,1.6261198484117438,0.27521193624957613
2,val,1.5986720357844186,0.28106348345089527
3,train,1.562954749241244,0.3108850457782299
3,val,1.535973178906992,0.3141616928920239
4,train,1.5140821821368642,0.3209901661580197
4,val,1.500466034713803,0.3250135648399349
5,train,1.470584558106633,0.34486266531027465
5,val,1.4519458921849566,0.34617471513836134
6,train,1.438893370419771,0.35632417768735164
6,val,1.4307676616467928,0.36353771025501896
7,train,1.4202130692415054,0.3595116988809766
7,val,1.4233167651420175,0.347802495930548
8,train,1.4075617730961123,0.36812478806375043
8,val,1.4028221416007678,0.36299511665762346
9,train,1.3940233853195594,0.3675822312648355
9,val,1.3922782604033315,0.3711340206185567
10,train,1.380316568237517,0.3780264496439471
10,val,1.3859715950728368,0.35594139989148127
11,train,1.3659802069458649,0.3901661580196677
11,val,1.3769938302829223,0.3776451437873033
12,train,1.3596450078847166,0.395863004408274
12,val,1.3667065335303237,0.3787303309820944
13,train,1.3555250903314233,0.3857578840284842
13,val,1.3690307625466822,0.37059142702116116
14,train,1.3511574362285583,0.39626992200746014
14,val,1.3595770237178046,0.37655995659251223
15,train,1.3459721682232573,0.3940996948118006
15,val,1.3592587583296596,0.3711340206185567
16,train,1.339799189502888,0.39782977280434045
16,val,1.3465852204445452,0.39012479652740095
17,train,1.3356437563370671,0.40528992878942016
17,val,1.3521296624832029,0.37818773738469885
18,train,1.3335083227636209,0.4036622583926755
18,val,1.3425593715094382,0.39283776451437874
19,train,1.3310342829200768,0.4081383519837233
19,val,1.3441154740779089,0.37818773738469885
20,train,1.3285715410854098,0.4062394031875212
20,val,1.3390550080422015,0.39120998372219207
21,train,1.3258040282798242,0.40861308918277384
21,val,1.337084053523891,0.3922951709169832
