epoch,split,snr,loss,acc,correct,total
1,val,30,1.4068348666127675,0.3974358974358974,124,312
1,val,10,1.5430542343076628,0.36942675159235666,116,314
1,val,20,1.4752876552465921,0.37383177570093457,120,321
1,val,0,2.1580291091070056,0.2669039145907473,75,281
2,val,30,1.042174127812569,0.5256410256410257,164,312
2,val,10,1.1603421017907227,0.44904458598726116,141,314
2,val,20,1.1114593790234806,0.43613707165109034,140,321
2,val,0,2.3808905672666443,0.298932384341637,84,281
3,val,30,1.2690351445896504,0.42628205128205127,133,312
3,val,10,1.4246629909760538,0.37898089171974525,119,314
3,val,20,1.2924759126619387,0.43302180685358255,139,321
3,val,0,1.8235548666787742,0.3487544483985765,98,281
4,val,30,0.820701763069687,0.6538461538461539,204,312
4,val,10,0.8148962804946788,0.6242038216560509,196,314
4,val,20,0.8817811388800912,0.6074766355140186,195,321
4,val,0,1.8720487783600004,0.298932384341637,84,281
5,val,30,0.7168921003482328,0.6987179487179487,218,312
5,val,10,0.7259844984862194,0.6847133757961783,215,314
5,val,20,0.6907228711510883,0.7414330218068536,238,321
5,val,0,1.3807206096863407,0.43416370106761565,122,281
6,val,30,0.674391039674027,0.7467948717948718,233,312
6,val,10,0.6725854048035316,0.7101910828025477,223,314
6,val,20,0.6397420583514792,0.7538940809968847,242,321
6,val,0,1.113256631160546,0.49466192170818507,139,281
7,val,30,0.6065424995546121,0.7339743589743589,229,312
7,val,10,0.6643449014058681,0.7229299363057324,227,314
7,val,20,0.5603394595423069,0.7663551401869159,246,321
7,val,0,1.4852943030315255,0.40213523131672596,113,281
8,val,30,0.49077350882203646,0.8141025641025641,254,312
8,val,10,0.4946063085387618,0.7898089171974523,248,314
8,val,20,0.46858575638594696,0.8411214953271028,270,321
8,val,0,1.0353385224355074,0.5266903914590747,148,281
9,val,30,0.5014233796835657,0.7916666666666666,247,312
9,val,10,0.5474446438272205,0.7738853503184714,243,314
9,val,20,0.47884353175121025,0.8099688473520249,260,321
9,val,0,1.164573385290722,0.4412811387900356,124,281
10,val,30,0.3931534953537779,0.8205128205128205,256,312
10,val,10,0.40696179742348726,0.8343949044585988,262,314
10,val,20,0.36504303768996693,0.8691588785046729,279,321
10,val,0,1.624293354986189,0.33807829181494664,95,281
11,val,30,0.490361352541069,0.7916666666666666,247,312
11,val,10,0.5277155529388641,0.7802547770700637,245,314
11,val,20,0.4520914316069657,0.8193146417445483,263,321
11,val,0,1.4556817308340049,0.4128113879003559,116,281
12,val,30,0.42493396111352083,0.8108974358974359,253,312
12,val,10,0.5108962362522738,0.7611464968152867,239,314
12,val,20,0.43044370371860174,0.7881619937694704,253,321
12,val,0,1.3223658866411427,0.4412811387900356,124,281
13,val,30,0.41424378960371727,0.8108974358974359,253,312
13,val,10,0.5227294444053873,0.7356687898089171,231,314
13,val,20,0.4012429753020908,0.8006230529595015,257,321
13,val,0,1.6552250602570928,0.39501779359430605,111,281
8,test,30,0.49217244231017265,0.7894736842105263,240,304
8,test,0,1.0860146814409424,0.5,153,306
8,test,10,0.4779416111178396,0.813953488372093,245,301
8,test,20,0.47101675370810014,0.8025078369905956,256,319
