epoch,split,loss,acc
1,train,1.4200784336635321,0.3129196337741607
2,train,0.934324578666493,0.4685656154628688
3,train,0.8685388273770788,0.49094608341810786
4,train,0.8296771380932867,0.5009155645981689
5,train,0.8294072186837725,0.5182095625635809
6,train,0.7622938502235064,0.57029501525941
7,train,0.7221212935957031,0.6187182095625636
8,train,0.687403350371189,0.637029501525941
9,train,0.6793137503300897,0.6413021363173957
10,train,0.65964399801751,0.6649033570701933
11,train,0.6526763623146414,0.6533062054933876
12,train,0.6413400791426277,0.6638860630722279
13,train,0.6245746696347017,0.6830111902339776
14,train,0.6115326033118783,0.678942014242116
15,train,0.6036283049190517,0.6893184130213632
16,train,0.5979127641490615,0.6946083418107833
17,train,0.5900763702416832,0.7025432349949136
18,train,0.5889679290998503,0.7043743641912513
19,train,0.5848710020827859,0.7149542217700916
20,train,0.5819664821983718,0.7202441505595117
