epoch,split,loss,acc
1,train,3.3543047549240304,0.16636147846727703
1,val,1.8237363056714808,0.15897992403689637
2,train,1.810758568756295,0.16893862326212275
2,val,1.795552001721304,0.15897992403689637
3,train,1.8099926126007309,0.16466598847066802
3,val,1.8217191152836536,0.16115029842647857
4,train,1.8072746059457179,0.16737877246524246
4,val,1.807320568397261,0.16115029842647857
5,train,1.8085536321004232,0.1688708036622584
5,val,1.8077247814192956,0.17091698317959847
6,train,1.7992800590667777,0.16744659206510681
6,val,1.8098596085430938,0.176342919153554
7,train,1.8004999439851355,0.16859952526280095
7,val,1.7957710353046155,0.176342919153554
8,train,1.79797919928401,0.16758223126483554
8,val,1.7943323293717997,0.17091698317959847
9,train,1.8000485538021513,0.16466598847066802
9,val,1.8016388262346654,0.16928920238741182
10,train,1.7994912456196823,0.16534418446931162
10,val,1.803467943560993,0.16928920238741182
11,train,1.7961193706028014,0.16595456086809088
11,val,1.7925612542270903,0.16115029842647857
