epoch,split,snr,loss,acc,correct,total
1,val,20,0.8198058208853928,0.35051546391752575,34,97
1,val,0,0.7417031919833311,0.5051546391752577,49,97
1,val,30,0.7631790306523581,0.4392523364485981,47,107
1,val,10,0.7262523988330806,0.49074074074074076,53,108
2,val,20,0.7174077249064887,0.4948453608247423,48,97
2,val,0,0.7651957525420434,0.4742268041237113,46,97
2,val,30,0.7069181471227486,0.4766355140186916,51,107
2,val,10,0.705966208268095,0.5648148148148148,61,108
3,val,20,0.7130411451624841,0.5051546391752577,49,97
3,val,0,0.7278267483121341,0.4845360824742268,47,97
3,val,30,0.7044721412881513,0.514018691588785,55,107
3,val,10,0.6992348186947681,0.5092592592592593,55,108
4,val,20,0.6883619412318948,0.5463917525773195,53,97
4,val,0,0.7212836780806178,0.5257731958762887,51,97
4,val,30,0.6770594938893184,0.5607476635514018,60,107
4,val,10,0.6832900861347163,0.5277777777777778,57,108
5,val,20,0.621351501683599,0.711340206185567,69,97
5,val,0,0.881734218102755,0.4845360824742268,47,97
5,val,30,0.6392283258594085,0.6635514018691588,71,107
5,val,10,0.7029851933044416,0.5555555555555556,60,108
5,test,30,0.676326860708219,0.5740740740740741,62,108
5,test,10,0.7305559910307027,0.5252525252525253,52,99
5,test,0,0.8788017601807518,0.5247524752475248,53,101
5,test,20,0.6842513839596683,0.5825242718446602,60,103
