epoch,split,loss,acc
1,train,3.409312429683578,0.23621566632756866
1,val,1.8720900462621977,0.33315246880086813
2,train,1.724556077040022,0.31963377416073246
2,val,1.7429423298579614,0.3450895279435703
3,train,1.5475206221431423,0.3776873516446253
3,val,1.5606474439152156,0.326098752034726
4,train,1.4208806842333102,0.4149203119701594
4,val,1.3901650671459578,0.43081931633206727
5,train,1.3578751394004085,0.43981010512037977
5,val,1.423667837340613,0.3667932718393923
6,train,1.2650059265781557,0.47256697185486607
6,val,1.3317636333595975,0.49104720564297344
7,train,1.2362420500840685,0.48396066463207865
7,val,1.2731584371979703,0.4845360824742268
8,train,1.2158878222284741,0.49196337741607327
8,val,1.3012232001682889,0.41345632121540965
9,train,1.2023276479820673,0.4967107494065785
9,val,1.2602879073525406,0.4579489962018448
10,train,1.180685190501234,0.5109528653780943
10,val,1.166015916846074,0.5051546391752577
11,train,1.1360703772308463,0.5251949813496101
11,val,1.1257148345268362,0.5328269126424309
12,train,1.1331303920532412,0.5353001017293998
12,val,1.120570113978435,0.5344546934346175
13,train,1.1230434110666705,0.5297388945405223
13,val,1.1063172727968793,0.5409658166033641
14,train,1.1172708342785995,0.5387589013224822
14,val,1.1215841093596335,0.5480195333695063
15,train,1.1174517158816815,0.5371990505256019
15,val,1.1514426348847147,0.5339120998372219
16,train,1.0947073572407175,0.5461512377076976
16,val,1.0823378518943352,0.5469343461747151
17,train,1.0879305162766135,0.5498813157002373
17,val,1.0864547236872573,0.545849158979924
18,train,1.088077435674567,0.5507629704984741
18,val,1.0892254999650282,0.5236028214867064
19,train,1.0815469264741588,0.5527297388945405
19,val,1.0981110807223224,0.5284861638632664
20,train,1.087521796357474,0.5504238724991523
20,val,1.085773910961265,0.550732501356484
21,train,1.0713670605398833,0.5591047812817904
21,val,1.0888659166241883,0.5382528486163863
22,train,1.0731203300745134,0.5569345540861309
22,val,1.0714752188986303,0.5583288117200217
23,train,1.0673916602466178,0.5635130552729739
23,val,1.068741743032918,0.5659251220835594
24,train,1.0672597101721857,0.5600542556798915
24,val,1.074115759383319,0.5523602821486706
25,train,1.067605214427794,0.5600542556798915
25,val,1.067533790062642,0.5599565925122083
26,train,1.0586907116507385,0.5619532044760935
26,val,1.0675043964023767,0.5599565925122083
27,train,1.0568698729204298,0.5634452356731096
27,val,1.0681082549071867,0.5626695604991861
28,train,1.059938950678501,0.5636486944727026
28,val,1.0674458139950467,0.566467715680955
29,train,1.055952416310354,0.5647338080705324
29,val,1.061641883539623,0.5529028757460662
30,train,1.0572224215719004,0.5655476432689047
30,val,1.0640577294550961,0.5621269669017905
31,train,1.0554905891741846,0.5653441844693117
31,val,1.0540190379514813,0.5648399348887683
