epoch,split,loss,acc
1,train,2.338919062168164,0.33882672092234656
1,val,1.308588235972048,0.3998914812805209
2,train,1.3961427547277616,0.3987792472024415
2,val,1.3387612618639362,0.42105263157894735
3,train,1.3302947375280407,0.4264496439471007
3,val,1.341646448012221,0.42485078676071625
4,train,1.2952340936935647,0.42665310274669377
4,val,1.251365949327507,0.4449267498643516
5,train,1.2630157556562918,0.4364869447270261
5,val,1.1790948413470097,0.47314161692892026
6,train,1.198619478441732,0.45730756188538485
6,val,1.2127079355671428,0.46500271296798695
7,train,1.1920486724510075,0.46463207867073586
7,val,1.1668923057684482,0.46011937059142705
8,train,1.184453606540852,0.46809087826381823
8,val,1.1495233660991335,0.47639717851329355
9,train,1.1658119667259546,0.4741268226517464
9,val,1.134113814736344,0.47802495930548017
10,train,1.1665527197093064,0.46897253306205494
10,val,1.1150456665005946,0.4905046120455779
11,train,1.1383286336552454,0.478195998643608
11,val,1.115852718177336,0.5046120455778622
12,train,1.1410147025165578,0.4811800610376399
12,val,1.1256936643024016,0.4861638632664135
13,train,1.141190704574986,0.4801627670396745
13,val,1.1122495989662373,0.4888768312533912
14,train,1.1306816019984414,0.4845710410308579
14,val,1.119314664611982,0.4921323928377645
15,train,1.1288415926923263,0.48714818582570363
15,val,1.1242400017757488,0.4888768312533912
16,train,1.1164166180874866,0.49094608341810786
16,val,1.097236591904175,0.4905046120455779
