epoch,split,loss,acc
1,train,2.2820748336277155,0.2302475415395049
1,val,1.6473016061022174,0.3081931633206728
2,train,1.6184102276374865,0.29352322821295357
2,val,1.6473715663667743,0.30873575691806837
3,train,1.5952588267389416,0.29582909460834184
3,val,1.5701503826106171,0.299511665762344
4,train,1.5491150788914838,0.30356052899287894
4,val,1.6036972153529614,0.31090613130765055
5,train,1.5498843856648534,0.3065445913869108
5,val,1.5083514962323128,0.32555615843733043
6,train,1.5111552909577488,0.3156324177687352
6,val,1.5058936058537054,0.3174172544763972
7,train,1.50749163613072,0.31787046456425905
7,val,1.5194403057957369,0.3201302224633749
8,train,1.5119473351830748,0.3070871481858257
8,val,1.4761003814051479,0.32121540965816603
9,train,1.5039867862518377,0.3150898609698203
9,val,1.503180633727067,0.3081931633206728
10,train,1.5117863587097784,0.3141403865717192
10,val,1.5535945343828952,0.25610417797069995
