epoch,split,snr,acc,correct,total
1,val,20,0.5979381443298969,58,97
1,val,0,0.4845360824742268,47,97
1,val,30,0.4953271028037383,53,107
1,val,10,0.5092592592592593,55,108
2,val,20,0.5979381443298969,58,97
2,val,0,0.4845360824742268,47,97
2,val,30,0.48598130841121495,52,107
2,val,10,0.5092592592592593,55,108
3,val,20,0.6185567010309279,60,97
3,val,0,0.4845360824742268,47,97
3,val,30,0.48598130841121495,52,107
3,val,10,0.5092592592592593,55,108
4,val,20,0.6907216494845361,67,97
4,val,0,0.4536082474226804,44,97
4,val,30,0.6448598130841121,69,107
4,val,10,0.5833333333333334,63,108
5,val,20,0.4020618556701031,39,97
5,val,0,0.5154639175257731,50,97
5,val,30,0.514018691588785,55,107
5,val,10,0.49074074074074076,53,108
4,test,30,0.6481481481481481,70,108
4,test,10,0.5656565656565656,56,99
4,test,0,0.44554455445544555,45,101
4,test,20,0.6019417475728155,62,103
