epoch,split,snr,acc,correct,total
1,val,20,0.5979381443298969,58,97
1,val,0,0.4845360824742268,47,97
1,val,30,0.48598130841121495,52,107
1,val,10,0.5092592592592593,55,108
2,val,20,0.5979381443298969,58,97
2,val,0,0.4845360824742268,47,97
2,val,30,0.48598130841121495,52,107
2,val,10,0.5092592592592593,55,108
3,val,20,0.5979381443298969,58,97
3,val,0,0.5360824742268041,52,97
3,val,30,0.5046728971962616,54,107
3,val,10,0.5925925925925926,64,108
4,val,20,0.5360824742268041,52,97
4,val,0,0.5051546391752577,49,97
4,val,30,0.5607476635514018,60,107
4,val,10,0.5555555555555556,60,108
5,val,20,0.4020618556701031,39,97
5,val,0,0.5154639175257731,50,97
5,val,30,0.514018691588785,55,107
5,val,10,0.49074074074074076,53,108
6,val,20,0.5979381443298969,58,97
6,val,0,0.4845360824742268,47,97
6,val,30,0.48598130841121495,52,107
6,val,10,0.5092592592592593,55,108
7,val,20,0.4536082474226804,44,97
7,val,0,0.5154639175257731,50,97
7,val,30,0.5420560747663551,58,107
7,val,10,0.6018518518518519,65,108
8,val,20,0.4020618556701031,39,97
8,val,0,0.5154639175257731,50,97
8,val,30,0.514018691588785,55,107
8,val,10,0.49074074074074076,53,108
9,val,20,0.6288659793814433,61,97
9,val,0,0.5154639175257731,50,97
9,val,30,0.5420560747663551,58,107
9,val,10,0.5555555555555556,60,108
10,val,20,0.4329896907216495,42,97
10,val,0,0.5154639175257731,50,97
10,val,30,0.514018691588785,55,107
10,val,10,0.5092592592592593,55,108
11,val,20,0.7938144329896907,77,97
11,val,0,0.4948453608247423,48,97
11,val,30,0.6261682242990654,67,107
11,val,10,0.6111111111111112,66,108
12,val,20,0.5154639175257731,50,97
12,val,0,0.4329896907216495,42,97
12,val,30,0.5700934579439252,61,107
12,val,10,0.6111111111111112,66,108
13,val,20,0.5979381443298969,58,97
13,val,0,0.4845360824742268,47,97
13,val,30,0.4953271028037383,53,107
13,val,10,0.5092592592592593,55,108
14,val,20,0.5154639175257731,50,97
14,val,0,0.5463917525773195,53,97
14,val,30,0.5887850467289719,63,107
14,val,10,0.6388888888888888,69,108
15,val,20,0.7525773195876289,73,97
15,val,0,0.4742268041237113,46,97
15,val,30,0.5887850467289719,63,107
15,val,10,0.6018518518518519,65,108
16,val,20,0.4845360824742268,47,97
16,val,0,0.5154639175257731,50,97
16,val,30,0.5700934579439252,61,107
16,val,10,0.5925925925925926,64,108
17,val,20,0.7731958762886598,75,97
17,val,0,0.4948453608247423,48,97
17,val,30,0.7383177570093458,79,107
17,val,10,0.7129629629629629,77,108
18,val,20,0.6701030927835051,65,97
18,val,0,0.5051546391752577,49,97
18,val,30,0.6822429906542056,73,107
18,val,10,0.7314814814814815,79,108
19,val,20,0.6804123711340206,66,97
19,val,0,0.5154639175257731,50,97
19,val,30,0.7383177570093458,79,107
19,val,10,0.7314814814814815,79,108
20,val,20,0.5257731958762887,51,97
20,val,0,0.5154639175257731,50,97
20,val,30,0.6074766355140186,65,107
20,val,10,0.6388888888888888,69,108
21,val,20,0.6907216494845361,67,97
21,val,0,0.4948453608247423,48,97
21,val,30,0.5607476635514018,60,107
21,val,10,0.5648148148148148,61,108
22,val,20,0.7938144329896907,77,97
22,val,0,0.422680412371134,41,97
22,val,30,0.7663551401869159,82,107
22,val,10,0.75,81,108
23,val,20,0.7628865979381443,74,97
23,val,0,0.4845360824742268,47,97
23,val,30,0.5700934579439252,61,107
23,val,10,0.5740740740740741,62,108
24,val,20,0.422680412371134,41,97
24,val,0,0.5051546391752577,49,97
24,val,30,0.514018691588785,55,107
24,val,10,0.5185185185185185,56,108
25,val,20,0.4639175257731959,45,97
25,val,0,0.5154639175257731,50,97
25,val,30,0.5327102803738317,57,107
25,val,10,0.5648148148148148,61,108
26,val,20,0.8144329896907216,79,97
26,val,0,0.4948453608247423,48,97
26,val,30,0.7289719626168224,78,107
26,val,10,0.6944444444444444,75,108
27,val,20,0.7525773195876289,73,97
27,val,0,0.4845360824742268,47,97
27,val,30,0.5700934579439252,61,107
27,val,10,0.6018518518518519,65,108
28,val,20,0.7216494845360825,70,97
28,val,0,0.5257731958762887,51,97
28,val,30,0.7570093457943925,81,107
28,val,10,0.7685185185185185,83,108
29,val,20,0.7731958762886598,75,97
29,val,0,0.4948453608247423,48,97
29,val,30,0.7102803738317757,76,107
29,val,10,0.7592592592592593,82,108
30,val,20,0.6494845360824743,63,97
30,val,0,0.5051546391752577,49,97
30,val,30,0.6728971962616822,72,107
30,val,10,0.6944444444444444,75,108
31,val,20,0.8144329896907216,79,97
31,val,0,0.4742268041237113,46,97
31,val,30,0.6822429906542056,73,107
31,val,10,0.7407407407407407,80,108
32,val,20,0.7216494845360825,70,97
32,val,0,0.5773195876288659,56,97
32,val,30,0.7476635514018691,80,107
32,val,10,0.7129629629629629,77,108
33,val,20,0.7628865979381443,74,97
33,val,0,0.5567010309278351,54,97
33,val,30,0.7289719626168224,78,107
33,val,10,0.7314814814814815,79,108
34,val,20,0.845360824742268,82,97
34,val,0,0.4948453608247423,48,97
34,val,30,0.7663551401869159,82,107
34,val,10,0.7592592592592593,82,108
35,val,20,0.7628865979381443,74,97
35,val,0,0.4845360824742268,47,97
35,val,30,0.5794392523364486,62,107
35,val,10,0.6851851851851852,74,108
36,val,20,0.7422680412371134,72,97
36,val,0,0.5463917525773195,53,97
36,val,30,0.7476635514018691,80,107
36,val,10,0.7592592592592593,82,108
37,val,20,0.6391752577319587,62,97
37,val,0,0.5257731958762887,51,97
37,val,30,0.6822429906542056,73,107
37,val,10,0.6574074074074074,71,108
38,val,20,0.8350515463917526,81,97
