epoch,split,loss,acc
1,train,2.4276416498347837,0.2557477110885046
1,val,1.9018470238423257,0.3005968529571351
2,train,1.6692441016951025,0.33136656493726685
2,val,1.616935593371668,0.36625067824199675
3,train,1.5427614998599157,0.40406917599186165
3,val,1.3737220577875429,0.4389582202930005
4,train,1.4685488116179293,0.44265852831468294
4,val,1.36278640738791,0.4508952794357027
5,train,1.4187288849262434,0.45785011868429976
5,val,1.4940131896873305,0.39446554530656536
6,train,1.3533119803648879,0.48836893862326214
6,val,1.1782967375467086,0.5084102007596311
7,train,1.334186623055234,0.4882332994235334
7,val,1.2918021605186856,0.4801953336950624
8,train,1.3217791630802174,0.49711766700576465
8,val,1.1781434479836077,0.5165491047205643
9,train,1.2991464662406356,0.5132587317734826
9,val,1.2332347594585615,0.5415084102007597
10,train,1.293437780190743,0.5109528653780943
10,val,1.3537480586647535,0.4725990233315247
11,train,1.266887884101208,0.5331976941336046
11,val,1.1485423990002288,0.5192620727075421
12,train,1.261101011002658,0.5317056629365887
12,val,1.1789314034058875,0.5453065653825285
13,train,1.25514855197261,0.5380807053238386
13,val,1.1308424603466876,0.5604991861096039
14,train,1.2568661126333724,0.5383519837232961
14,val,1.156782848836285,0.5431361909929463
15,train,1.2482669837679368,0.5417429637165141
15,val,1.1890926557717865,0.49104720564297344
16,train,1.2407225055183626,0.5515089860969821
16,val,1.1171010286990417,0.5523602821486706
17,train,1.2351957526114805,0.5506273312987453
17,val,1.0945022674080347,0.5485621269669018
18,train,1.2357747067270055,0.5521193624957613
18,val,1.123210780722773,0.5274009766684753
