epoch,split,loss,acc
1,train,1.4363066235005795,0.29074262461851474
2,train,1.050986096660094,0.43179043743641915
3,train,0.9420083257819726,0.46709053916581894
4,train,0.8332846196476343,0.5028484231943031
5,train,0.8059168733754939,0.5155645981688708
6,train,0.7812803895888226,0.5523906408952187
7,train,0.7231603637595385,0.6177517802644964
8,train,0.6946027879312346,0.6369277721261445
9,train,0.6834654871469111,0.6463377416073245
10,train,0.6683459503968395,0.6520345879959308
11,train,0.6653781108065515,0.6530518819938962
12,train,0.6556382569267452,0.6579857578840285
13,train,0.6410721229269933,0.6675991861648016
14,train,0.6621246391977444,0.6601220752797559
15,train,0.6312825806992222,0.6711088504577823
16,train,0.6301639422274072,0.6701424211597151
17,train,0.620539124172071,0.6787894201424212
18,train,0.6064433921026189,0.6855544252288911
19,train,0.6027664113505569,0.6911495422177009
20,train,0.5837757023280659,0.6991861648016277
21,train,0.5812741350909337,0.7002034587995931
22,train,0.5809637944914195,0.7040691759918617
23,train,0.5564511343397177,0.7153102746693795
24,train,0.5609711714945392,0.7102238046795524
25,train,0.5449216946580524,0.7170905391658189
26,train,0.5353308154753241,0.7225839267548322
27,train,0.5350256334486231,0.7225839267548322
28,train,0.5219308639348826,0.7266531027466938
29,train,0.5255713660016065,0.7251271617497457
30,train,0.5148506051768849,0.7310783316378433
31,train,0.5042366394191404,0.7338758901322482
32,train,0.5017618305503655,0.7367751780264497
33,train,0.497143643324397,0.7371820956256359
34,train,0.49693530273461756,0.7362156663275686
35,train,0.4943588489312243,0.734028484231943
36,train,0.48851483464847384,0.7389623601220753
37,train,0.4968046817932342,0.7330111902339776
38,train,0.48645764736047475,0.7409969481180061
39,train,0.4815964109596862,0.7430315361139369
40,train,0.4784026791945115,0.7431841302136317
41,train,0.4771062002177156,0.742472024415056
42,train,0.47596673563441083,0.7455747711088505
43,train,0.4732250373821899,0.7474567650050865
44,train,0.4731634413480516,0.7466429298067141
45,train,0.4702365052481755,0.7453713123092574
46,train,0.4688816139862957,0.75
47,train,0.4684004379070666,0.7519837232960326
48,train,0.46788405106002173,0.7514242115971516
49,train,0.46749352096662394,0.748321464903357
50,train,0.4676297511355923,0.7504577822990844
