epoch,split,loss,acc
1,train,2.5321574989841444,0.22075279755849442
1,val,1.6431632618896352,0.25718936516549107
2,train,1.7060562216980897,0.31271617497456766
2,val,1.545144054725386,0.3700488334237656
3,train,1.6162622058702834,0.3530688368938623
3,val,1.7313557302440823,0.35160065111231686
4,train,1.540555691339073,0.38657171922685657
4,val,1.368341422119803,0.45632121540965814
5,train,1.4584625710467638,0.4257714479484571
5,val,1.4131206154370528,0.47368421052631576
6,train,1.3850372775201678,0.4719565954560868
6,val,1.4180406807430141,0.47531199131850244
7,train,1.3671864558090878,0.48260427263479144
7,val,1.2649483931692023,0.4568638090070537
8,train,1.351148060549312,0.48572397422855207
8,val,1.3238584401487206,0.46011937059142705
9,train,1.3367043217063637,0.5026788741946423
9,val,1.1983046384201836,0.5208898534997287
10,train,1.3223015801386737,0.49881315700237366
10,val,1.2376607976655758,0.5208898534997287
11,train,1.295308639729132,0.521804001356392
11,val,1.2266805962383003,0.5431361909929463
12,train,1.2877962264743001,0.5268226517463547
12,val,1.1866162921576415,0.5344546934346175
13,train,1.28032789102608,0.5208545269582909
13,val,1.2687585140400068,0.5485621269669018
14,train,1.27772157922281,0.5315022041369956
14,val,1.2436644688159697,0.5219750406945198
15,train,1.2750098581191198,0.5262800949474398
15,val,1.1612418904876296,0.47802495930548017
16,train,1.2573877725410396,0.5462190573075619
16,val,1.0830751585688723,0.5480195333695063
17,train,1.2561866717162316,0.5469650729060699
17,val,1.096205661171361,0.5295713510580575
18,train,1.2566329540257213,0.54323499491353
18,val,1.1034489392069973,0.5496473141616929
