epoch,split,snr,loss,acc,correct,total
1,val,20,0.7086504617917169,0.4639175257731959,45,97
1,val,0,0.9036304356203866,0.5154639175257731,50,97
1,val,30,0.7351422777799802,0.5046728971962616,54,107
1,val,10,0.6968133921424547,0.5648148148148148,61,108
2,val,20,0.6449567856862373,0.6288659793814433,61,97
2,val,0,0.8294861647732479,0.4639175257731959,45,97
2,val,30,0.6732042621229296,0.5607476635514018,60,107
2,val,10,0.67824228990961,0.5740740740740741,62,108
3,val,20,0.6330392137937939,0.6082474226804123,59,97
3,val,0,0.7114769950048211,0.5463917525773195,53,97
3,val,30,0.6887234975801451,0.5327102803738317,57,107
3,val,10,0.6640620224729732,0.5370370370370371,58,108
4,val,20,0.8176843365750361,0.4020618556701031,39,97
4,val,0,1.0741908826010744,0.5154639175257731,50,97
4,val,30,0.748951900506688,0.5046728971962616,54,107
4,val,10,0.8405254426653739,0.49074074074074076,53,108
5,val,20,0.9132681300037915,0.422680412371134,41,97
5,val,0,1.2814028370338155,0.5154639175257731,50,97
5,val,30,0.7603835289444879,0.5233644859813084,56,107
5,val,10,0.8926580296484409,0.49074074074074076,53,108
2,test,30,0.6669799152899671,0.5648148148148148,61,108
2,test,10,0.6834060500065485,0.5858585858585859,58,99
2,test,0,0.7571636357224814,0.504950495049505,51,101
2,test,20,0.698097157536201,0.5436893203883495,56,103
