epoch,split,loss,acc
1,train,2.122601962208006,0.2809186587894675
2,train,1.8554914780404488,0.35974020892836184
3,train,1.728571308663326,0.397317970186627
4,train,1.6672616150276665,0.41987949450291484
5,train,1.631830903781291,0.4331879181501624
6,train,1.6000494959722025,0.44528541805234945
7,train,1.5729395113209985,0.45632458233890216
8,train,1.5478055451881663,0.4658769904925858
9,train,1.5255338116866368,0.47454516999882623
10,train,1.5082361124813606,0.4809206150475371
11,train,1.4959618870195888,0.48598732344770923
12,train,1.4854683231647934,0.48904104229429946
13,train,1.4758181740343164,0.49255056927109825
14,train,1.4672274054223147,0.496378966313236
15,train,1.4757813479102895,0.4943190265659846
16,train,1.4605080665941879,0.498953401932783
17,train,1.4540909700846278,0.5005262334207129
18,train,1.4476249001573624,0.5036542900739466
19,train,1.442775813002202,0.5050021518838765
20,train,1.447531103464708,0.5039242536875465
