run_dir,experiment_name,encoding_type,model_type,trainer,grid_size,sigma_delta_step,sigma_delta_edge_only,tf_events_threshold,seed,training_device,train_time_seconds,total_time_seconds,num_classes,val_loss,val_acc,test_loss,test_acc,run_name,run_datetime,run_date,run_time,per_snr_30,snr_list,snr_min,snr_max,num_snrs,per_snr_10,per_snr_0,per_snr_-4,per_snr_12,per_snr_8,per_snr_4,per_snr_2,per_snr_6,per_snr_-20,per_snr_-10,per_snr_20,per_snr_14,per_snr_16,per_snr_22,per_snr_-8,per_snr_-18,per_snr_-16,per_snr_-2,per_snr_26,per_snr_18,per_snr_24,per_snr_-14,per_snr_28,per_snr_-6,per_snr_-12
results/radioml2018_iqgrid_conv2d_dcll_medium_20251202_113423,radioml2018_iqgrid_conv2d_dcll_medium,iq_grid,conv2d_snn,dcll,16,,,,42,,,,3,6.932837020519168,0.3372093023255814,2.515848510566799,0.3448275862068966,radioml2018_iqgrid_conv2d_dcll_medium_20251202_113423,2025-12-02 11:34:23,2025-12-02,11:34:23,,"0,4,8",0,8,3,,0.38461538461538464,,,0.375,0.27586206896551724,,,,,,,,,,,,,,,,,,,
results/project_runs_1_conv2d_latency_ttfs_bptt_20260107_193616,project_runs_1_conv2d_latency_ttfs_bptt,latency_ttfs,conv2d_snn,bptt,16,,,,42,mps,3564.899017458083,3612.6024734580424,6,1.5083514962323128,0.32555615843733043,1.5001776523548713,0.3378524945770065,project_runs_1_conv2d_latency_ttfs_bptt_20260107_193616,2026-01-07 19:36:16,2026-01-07,19:36:16,0.48727272727272725,"-20,-10,0,10,20,30",-20,30,6,0.48253968253968255,0.18446601941747573,,,,,,,0.1901639344262295,0.2261904761904762,0.48026315789473684,,,,,,,,,,,,,,
results/project_runs_all_1_conv2d_iqgrid_bptt_20260106_234035,project_runs_all_1_conv2d_iqgrid_bptt,iq_grid,conv2d_snn,bptt,16,,,,42,mps,63702.67546662502,63939.419639957836,24,2.102126688693823,0.33091451629310636,2.0912412027482925,0.3331411908314119,project_runs_all_1_conv2d_iqgrid_bptt_20260106_234035,2026-01-06 23:40:35,2026-01-06,23:40:35,0.564957792876261,"-20,-10,0,10,20,30",-20,30,6,0.553204476093591,0.23083083083083084,,,,,,,0.04375383357186669,0.04364518084461507,0.5688843398157626,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_medium_20251202_113024,radioml2018_iqgrid_conv2d_dcll_medium,iq_grid,conv2d_snn,dcll,16,,,,42,,,,3,4.3559135836224225,0.3372093023255814,2.5620598834136437,0.3218390804597701,radioml2018_iqgrid_conv2d_dcll_medium_20251202_113024,2025-12-02 11:30:24,2025-12-02,11:30:24,,"0,4,8",0,8,3,,0.2692307692307692,,,0.34375,0.3448275862068966,,,,,,,,,,,,,,,,,,,
results/project_runs_1_conv2d_.iqgrid_bptt_20260108_003657,project_runs_1_conv2d_.iqgrid_bptt,iq_grid,lsm,bptt,16,,,,42,mps,125.86342362500727,128.73545237490907,6,1.5821692538662444,0.32230059685295714,1.588412646874947,0.31778741865509763,project_runs_1_conv2d_.iqgrid_bptt_20260108_003657,2026-01-08 00:36:57,2026-01-08,00:36:57,0.4690909090909091,"-20,-10,0,10,20,30",-20,30,6,0.4126984126984127,0.23300970873786409,,,,,,,0.11475409836065574,0.18452380952380953,0.5197368421052632,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_125125,radioml2018_iqgrid_conv2d_dcll_small,iq_grid,conv2d_snn,dcll,16,,,,42,,,,4,1.3645006716251373,0.453125,1.7667498588562012,0.25,radioml2018_iqgrid_conv2d_dcll_small_20251202_125125,2025-12-02 12:51:25,2025-12-02,12:51:25,,"0,2,4,6,10",0,10,5,0.42857142857142855,0.26666666666666666,,,,0.3333333333333333,0.13333333333333333,0.2,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_20251202_113719,radioml2018_iqgrid_conv2d_dcll,iq_grid,conv2d_snn,dcll,16,,,,42,,,,24,2.3229094015227423,0.255859375,2.3822747700744205,0.24522569444444445,radioml2018_iqgrid_conv2d_dcll_20251202_113719,2025-12-02 11:37:19,2025-12-02,11:37:19,,"-4,0,4,8,12",-4,12,5,,0.17789473684210527,0.05408163265306123,0.3577430972388956,0.3590859630032644,0.3023758099352052,,,,,,,,,,,,,,,,,,,
results/project_runs_1_2_conv2d_rate_bptt_20260107_123806,project_runs_1_2_conv2d_rate_bptt,rate_code,conv2d_snn,bptt,16,,,,42,mps,1516.6619685410988,1541.0582627500407,6,1.7281076324678153,0.26044492674986436,1.757640263522266,0.24078091106290672,project_runs_1_2_conv2d_rate_bptt_20260107_123806,2026-01-07 12:38:06,2026-01-07,12:38:06,0.29818181818181816,"-20,-10,0,10,20,30",-20,30,6,0.3238095238095238,0.22330097087378642,,,,,,,0.1540983606557377,0.12797619047619047,0.33223684210526316,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_145805,radioml2018_iqgrid_conv2d_dcll_small,tf_events,lsm,dcll,16,,,,42,,,,13,2.052724716468499,0.23888221153846154,2.0572929584349575,0.23182091346153846,radioml2018_iqgrid_conv2d_dcll_small_20251202_145805,2025-12-02 14:58:05,2025-12-02,14:58:05,,"-4,0,4,8,12",-4,12,5,,0.2217557251908397,0.16302263137706174,0.26974437237695537,0.25190286335628853,0.25064695009242144,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_161338,radioml2018_iqgrid_conv2d_dcll_small,tf_events,lsm,dcll,16,,,,42,,,,13,2.1474078246034107,0.2081580528846154,2.1259685650181313,0.21150090144230768,radioml2018_iqgrid_conv2d_dcll_small_20251202_161338,2025-12-02 16:13:38,2025-12-02,16:13:38,,"-4,0,4,8,12",-4,12,5,,0.19901905300886624,0.1639091958445556,0.24602272727272728,0.23295033358042994,0.21435125711139658,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251204_124819,radioml2018_iqgrid_conv2d_dcll_small,tf_events,lsm,dcll,16,,,,42,,,,13,2.2742057115269394,0.17889873798076922,2.261371156845528,0.16669170673076922,radioml2018_iqgrid_conv2d_dcll_small_20251204_124819,2025-12-04 12:48:19,2025-12-04,12:48:19,,"-4,0,4,8,12",-4,12,5,,0.19128466327108093,0.15159676798768756,0.1590909090909091,0.17197924388435878,0.15929528353826392,,,,,,,,,,,,,,,,,,,
results/project_runs_1_conv1d_iqgrid_bptt_20260107_200450,project_runs_1_conv1d_iqgrid_bptt,iq_grid,conv1d_snn,bptt,16,,,,42,mps,2084.8340026249643,2107.5050235830713,6,1.8098596085430938,0.176342919153554,1.808615583142593,0.1621475054229935,project_runs_1_conv1d_iqgrid_bptt_20260107_200450,2026-01-07 20:04:50,2026-01-07,20:04:50,0.14545454545454545,"-20,-10,0,10,20,30",-20,30,6,0.18095238095238095,0.13915857605177995,,,,,,,0.20327868852459016,0.15476190476190477,0.14802631578947367,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251204_125834,radioml2018_iqgrid_conv2d_dcll_small,tf_events,lsm,dcll,64,,,,42,,,,24,2.8102337014351257,0.17005759358958308,2.8172290918711393,0.1568075117370892,radioml2018_iqgrid_conv2d_dcll_small_20251204_125834,2025-12-04 12:58:34,2025-12-04,12:58:34,0.19147157190635453,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",-20,30,26,0.24159499609069585,0.15020408163265306,0.08401976935749589,0.2454242928452579,0.2526573998364677,0.24411302982731553,0.18203688853247796,0.22073578595317725,0.043547110055423596,0.04203718674211803,0.236,0.2526573998364677,0.24587458745874588,0.19886363636363635,0.038461538461538464,0.046511627906976744,0.041666666666666664,0.11960943856794141,0.20049710024855014,0.24858757062146894,0.20517097581317764,0.05102040816326531,0.1996615905245347,0.06403940886699508,0.03894080996884735
results/radioml2018_iqgrid_conv2d_dcll_small_20251204_130418,radioml2018_iqgrid_conv2d_dcll_small,sigma_delta,conv2d_snn,bptt,16,,,,42,,,,24,4.528805981079738,0.12369791666666667,4.43876513838768,0.11979166666666667,radioml2018_iqgrid_conv2d_dcll_small_20251204_130418,2025-12-04 13:04:18,2025-12-04,13:04:18,,"-4,0,4,8,12",-4,12,5,,0.08333333333333333,0.02564102564102564,0.16326530612244897,0.2,0.13414634146341464,,,,,,,,,,,,,,,,,,,
