epoch,split,snr,acc,correct,total
1,val,20,0.4329896907216495,42,97
1,val,0,0.5257731958762887,51,97
1,val,30,0.5233644859813084,56,107
1,val,10,0.4722222222222222,51,108
2,val,20,0.5567010309278351,54,97
2,val,0,0.5051546391752577,49,97
2,val,30,0.5700934579439252,61,107
2,val,10,0.5462962962962963,59,108
3,val,20,0.7216494845360825,70,97
3,val,0,0.4845360824742268,47,97
3,val,30,0.5420560747663551,58,107
3,val,10,0.5740740740740741,62,108
4,val,20,0.6494845360824743,63,97
4,val,0,0.4948453608247423,48,97
4,val,30,0.6074766355140186,65,107
4,val,10,0.6759259259259259,73,108
5,val,20,0.7525773195876289,73,97
5,val,0,0.4742268041237113,46,97
5,val,30,0.7009345794392523,75,107
5,val,10,0.6481481481481481,70,108
0,test,30,0.7222222222222222,78,108
0,test,10,0.494949494949495,49,99
0,test,0,0.5643564356435643,57,101
0,test,20,0.6796116504854369,70,103
