epoch,split,snr,loss,acc,correct,total
1,val,20,1.2919898360665074,0.39593908629441626,78,197
1,val,0,2.1958970929127792,0.26976744186046514,58,215
1,val,10,1.4414265729374622,0.32160804020100503,64,199
1,val,30,1.3582409804758544,0.3269230769230769,68,208
2,val,20,1.107904608782173,0.43147208121827413,85,197
2,val,0,1.6632480890944947,0.32558139534883723,70,215
2,val,10,1.1242777383207676,0.41708542713567837,83,199
2,val,30,1.1353403579157133,0.4519230769230769,94,208
3,val,20,0.8823258300798799,0.6345177664974619,125,197
3,val,0,1.3199170794597892,0.3395348837209302,73,215
3,val,10,0.8741650804502881,0.6381909547738693,127,199
3,val,30,1.0099189021767905,0.4951923076923077,103,208
4,val,20,0.939833847404018,0.5076142131979695,100,197
4,val,0,1.551562572218651,0.3209302325581395,69,215
4,val,10,0.9378782095207397,0.49246231155778897,98,199
4,val,30,1.0362248596491275,0.47115384615384615,98,208
5,val,20,0.7556485661369309,0.5736040609137056,113,197
5,val,0,1.7338809386935345,0.5255813953488372,113,215
5,val,10,0.8888602059114555,0.48743718592964824,97,199
5,val,30,0.8346371354905736,0.5673076923076923,118,208
6,val,20,0.6580731782088349,0.7055837563451777,139,197
6,val,0,1.6712021340810976,0.3302325581395349,71,215
6,val,10,0.6286005328161333,0.6984924623115578,139,199
6,val,30,0.6740009188472939,0.7067307692307693,147,208
7,val,20,0.48309379835910904,0.7918781725888325,156,197
7,val,0,1.0241494549568309,0.4744186046511628,102,215
7,val,10,0.5071060691946115,0.8190954773869347,163,199
7,val,30,0.5598048985635754,0.7403846153846154,154,208
8,val,20,0.4328313410260861,0.8527918781725888,168,197
8,val,0,1.115126760013748,0.49767441860465117,107,215
8,val,10,0.5297290523525974,0.7989949748743719,159,199
8,val,30,0.5062550933619675,0.7836538461538461,163,208
9,val,20,0.4236664722335577,0.8527918781725888,168,197
9,val,0,0.9986835863701132,0.5441860465116279,117,215
9,val,10,0.49865164156434544,0.8190954773869347,163,199
9,val,30,0.5044445907775438,0.8028846153846154,167,208
10,val,20,0.42362787791050327,0.8121827411167513,160,197
10,val,0,0.9473942908999878,0.5953488372093023,128,215
10,val,10,0.43398668562955967,0.8190954773869347,163,199
10,val,30,0.4298994376630827,0.8317307692307693,173,208
11,val,20,0.396389670465567,0.8274111675126904,163,197
11,val,0,0.9115829406609369,0.5720930232558139,123,215
11,val,10,0.41973337731745336,0.8391959798994975,167,199
11,val,30,0.44283104187119393,0.8413461538461539,175,208
12,val,20,0.4028159049434143,0.8324873096446701,164,197
12,val,0,1.0185827830849692,0.5441860465116279,117,215
12,val,10,0.4401274936931236,0.8040201005025126,160,199
12,val,30,0.42379270561482724,0.8461538461538461,176,208
13,val,20,0.4159455087773388,0.817258883248731,161,197
13,val,0,1.3921032180619795,0.35348837209302325,76,215
13,val,10,0.45027683440235505,0.8341708542713567,166,199
13,val,30,0.46588451710144557,0.7884615384615384,164,208
14,val,20,0.4219282847475485,0.817258883248731,161,197
14,val,0,1.0571587411681362,0.5209302325581395,112,215
14,val,10,0.4856926598303879,0.7638190954773869,152,199
14,val,30,0.4393575597715916,0.8269230769230769,172,208
15,val,20,0.41458961041703307,0.8020304568527918,158,197
15,val,0,1.0958889490426627,0.5162790697674419,111,215
15,val,10,0.49252135306158007,0.7839195979899497,156,199
15,val,30,0.5108008889359413,0.7307692307692307,152,208
10,test,30,0.4415145007412417,0.8121827411167513,160,197
10,test,0,0.9370048430988489,0.5701357466063348,126,221
10,test,10,0.42093906817137305,0.8333333333333334,175,210
10,test,20,0.4025595916385403,0.8385416666666666,161,192
