epoch,split,loss,acc
1,train,0.693912266520499,0.5018315018315018
2,train,0.6926090703487978,0.5134310134310134
3,train,0.6916300939698504,0.5412087912087912
4,train,0.6906674890000014,0.5405982905982906
5,train,0.6892392539279365,0.5912698412698413
6,train,0.6873977027096592,0.5824175824175825
7,train,0.6820019962441208,0.6388888888888888
8,train,0.6013900521910671,0.7057387057387058
9,train,0.47908370089472724,0.7591575091575091
10,train,0.43805525027060827,0.7832722832722833
11,train,0.4194483097838249,0.7985347985347986
12,train,0.41494147983517254,0.7951770451770451
13,train,0.4093564387424525,0.8021978021978022
14,train,0.40033993132239587,0.807997557997558
15,train,0.3875546514696836,0.8171550671550671
16,train,0.38437470928362144,0.8131868131868132
17,train,0.3780198518609826,0.818986568986569
18,train,0.38380650384522186,0.8195970695970696
19,train,0.374317268275807,0.8208180708180708
20,train,0.3762712654213038,0.8128815628815629
